;ALK;a;;bootstrap Mean;Percentile Q025;Percentile Q975;Bias Corrected Q025;Bias Corrected Q975;SE
cod;Datras;1;1.6980588;1.4673189;0.8214378;2.1547291;1.256633;2.6756874;0.35317182
cod;Datras;2;15.5628489;15.4170556;11.0485232;19.9060011;11.1656214;20.0864801;2.52659511
cod;Datras;3;1.9087992;1.8910791;1.3330417;2.5188221;1.3820396;2.5772228;0.30468638
cod;Datras;4;1.3097649;1.2805028;1.0081071;1.5391254;1.0690379;1.6102936;0.13933357
cod;Datras;5;1.1000983;1.0967514;0.9010347;1.3137572;0.9184995;1.3305799;0.1066376
cod;Datras;6;0.6528661;0.6424357;0.4670294;0.8297916;0.4904228;0.8549379;0.09683252
cod;Datras;7;0.2857174;0.2757629;0.1887156;0.3781851;0.2097914;0.4053843;0.04730027
cod;Haul base;1;1.6986154;1.4719604;0.8134613;2.1275374;1.1944925;2.6186283;0.34600821
cod;Haul base;2;15.6365251;15.4985118;10.8581097;20.2156427;11.0854492;20.3611535;2.6872105
cod;Haul base;3;1.7915463;1.7825469;1.2786923;2.2687457;1.2969825;2.2774006;0.26143638
cod;Haul base;4;1.3105719;1.3089737;1.0631932;1.5468415;1.0631932;1.5468415;0.128259
cod;Haul base;5;1.1296227;1.1068437;0.9062313;1.295254;0.9597614;1.3269271;0.0993704
cod;Haul base;6;0.6713042;0.6458197;0.4383525;0.8439035;0.4741508;0.8645549;0.10565735
cod;Haul base;7;0.279968;0.2748857;0.2293873;0.3219547;0.2379158;0.3339306;0.02443157
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
>;;;;;;;;;
